Código de mesa;Provincia;"Código 
municipio";Municipio;Distrito;Sección;Mesa;Censo;Primer Avance;Segundo Avance;Total Votantes;Votos Nulos;Votos Blanco;Partido;Nº Votos
05-016-2-003-A;AVILA;016;ARÉVALO;2;003;A;639;218;328;468;11;6;C's;51
05-016-2-003-A;AVILA;016;ARÉVALO;2;003;A;639;218;328;468;11;6;PODEMOS;33
05-016-2-003-A;AVILA;016;ARÉVALO;2;003;A;639;218;328;468;11;6;I.U.EQUO;23
05-016-2-003-A;AVILA;016;ARÉVALO;2;003;A;639;218;328;468;11;6;UPyD;15
05-016-2-003-A;AVILA;016;ARÉVALO;2;003;A;639;218;328;468;11;6;PACMA;6
05-016-2-003-A;AVILA;016;ARÉVALO;2;003;A;639;218;328;468;11;6;VOX;5
05-016-2-003-A;AVILA;016;ARÉVALO;2;003;A;639;218;328;468;11;6;FE de las JONS;1
05-016-2-003-B;AVILA;016;ARÉVALO;2;003;B;637;181;285;428;21;8;P.P.;221
05-016-2-003-B;AVILA;016;ARÉVALO;2;003;B;637;181;285;428;21;8;P.S.O.E.;81
05-016-2-003-B;AVILA;016;ARÉVALO;2;003;B;637;181;285;428;21;8;C's;38
05-016-2-003-B;AVILA;016;ARÉVALO;2;003;B;637;181;285;428;21;8;PODEMOS;32
05-016-2-003-B;AVILA;016;ARÉVALO;2;003;B;637;181;285;428;21;8;I.U.EQUO;12
05-016-2-003-B;AVILA;016;ARÉVALO;2;003;B;637;181;285;428;21;8;PACMA;5
05-016-2-003-B;AVILA;016;ARÉVALO;2;003;B;637;181;285;428;21;8;UPyD;5
05-016-2-003-B;AVILA;016;ARÉVALO;2;003;B;637;181;285;428;21;8;VOX;3
05-016-2-003-B;AVILA;016;ARÉVALO;2;003;B;637;181;285;428;21;8;FE de las JONS;2
05-016-2-004-U;AVILA;016;ARÉVALO;2;004;U;828;280;394;565;19;11;P.P.;278
05-016-2-004-U;AVILA;016;ARÉVALO;2;004;U;828;280;394;565;19;11;P.S.O.E.;106
05-016-2-004-U;AVILA;016;ARÉVALO;2;004;U;828;280;394;565;19;11;C's;73
05-016-2-004-U;AVILA;016;ARÉVALO;2;004;U;828;280;394;565;19;11;PODEMOS;46
